('P0', 'id');('P1_a ', 'Idade');('P1_b ', 'Genero');('P1_e ', 'experiencia_profissional_prejudicada');EXPERIÊNCIA PREJUDICADA SIM OU NAO;('P2_d ', 'Gestor?');('P2_f ', 'Cargo Atual');AGRUPAMENTO CARGOS;('P2_h ', 'Faixa salarial');MÉDIA FAIXA SALARIAL;('P2_g ', 'Nivel');NÍVEL COM NÚMEROS ORDINAIS;('P2_k ', 'Você está satisfeito na sua empresa atual?');('P2_n ', 'Você pretende mudar de emprego nos próximos 6 meses?');PRETENDE SAIR SIM OU NAO - TARGET;('P2_r ', 'Atualmente qual a sua forma de trabalho?');('P2_s ', 'Qual a forma de trabalho ideal para você?');ESTOU NO TRABALHO IDEAL?
6b7gxqo1vngb4knzasuxq6b7gxqo1h3x;32;Masculino;Sim, acredito que a minha a experiência profissional seja afetada devido a minha Cor/Raça/Etnia;1;0;Analista de Dados/Data Analyst;Análise de Dados;de R$ 8.001/mês a R$ 12.000/mês;10000;Sênior;2;0;Não estou buscando, mas me considero aberto a outras oportunidades;1;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);1
6be7c4tr9x7rc5mid46be7ckhf10eea5;28;Masculino;;0;0;Analista de Negócios/Business Analyst;Negócios;de R$ 4.001/mês a R$ 6.000/mês;5000;Sênior;2;0;Não estou buscando, mas me considero aberto a outras oportunidades;1;Modelo 100% presencial;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);0
6bghp769a13nklg8q6bghpbh7ab1rvts;31;Feminino;Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero;1;0;Cientista de Dados/Data Scientist;Análise de Dados;de R$ 16.001/mês a R$ 20.000/mês;18000;Sênior;2;0;Não estou buscando, mas me considero aberto a outras oportunidades;1;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);1
6bh079sl02hb2e6bh04p523hjymanlgg;25;Masculino;;0;;;Não informado;;0;;1;;;1;;;1
6bhz5apxiu93dc8r8y6bhz5a52fj6und;33;Masculino;;0;0;Analista de Dados/Data Analyst;Análise de Dados;de R$ 3.001/mês a R$ 4.000/mês;3500;Pleno;1;0;Estou em busca de oportunidades dentro ou fora do Brasil;1;Modelo híbrido com dias fixos de trabalho presencial;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);0
6bk5z3o6tllwkoavcwg26bk5z3r1xz13;24;Masculino;Sim, acredito que a minha a experiência profissional seja afetada devido a minha Cor/Raça/Etnia;1;0;Cientista de Dados/Data Scientist;Análise de Dados;de R$ 8.001/mês a R$ 12.000/mês;10000;Pleno;1;1;Não estou buscando, mas me considero aberto a outras oportunidades;1;Modelo 100% remoto;Modelo 100% remoto;1
6bysjmdna05xb9746bysjm1bg2ovmctk;32;Masculino;;0;0;Engenheiro de Machine Learning/ML Engineer/AI Engineer;ML/IA;Acima de R$ 40.001/mês;45000;Sênior;2;0;Estou em busca de oportunidades, mas apenas fora do Brasil;1;Modelo 100% remoto;Modelo 100% remoto;1
6c3vll6m6v3wbi2mco616c3vc1j3k0v4;24;Masculino;Não acredito que minha experiência profissional seja afetada devido a esses fatores;0;0;Outra Opção;Outro;de R$ 2.001/mês a R$ 3.000/mês;2500;Júnior;0;1;Não estou buscando, mas me considero aberto a outras oportunidades;1;Modelo 100% presencial;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);0
6c7srspb80r43pyu0kwwlb6c7srsq7xz;31;Masculino;;0;1;;Não informado;de R$ 16.001/mês a R$ 20.000/mês;18000;;1;1;Estou em busca de oportunidades, mas apenas fora do Brasil;1;Modelo híbrido com dias fixos de trabalho presencial;Modelo híbrido com dias fixos de trabalho presencial;1
6cjn6achias3rz9x1e1hroq6cjn6acq0;25;Masculino;Não acredito que minha experiência profissional seja afetada devido a esses fatores;0;0;Analista de BI/BI Analyst;Análise de Dados;de R$ 6.001/mês a R$ 8.000/mês;7000;Pleno;1;1;Não estou buscando, mas me considero aberto a outras oportunidades;1;Modelo 100% presencial;Modelo híbrido com dias fixos de trabalho presencial;0
6cvoey2tcuexvwqje8mt6cvoeytt4wvj;28;Masculino;;0;0;Analytics Engineer;Engenharia de Dados;de R$ 4.001/mês a R$ 6.000/mês;5000;Sênior;2;1;Estou em busca de oportunidades dentro ou fora do Brasil;1;Modelo 100% remoto;Modelo 100% remoto;1
6cxqarav1bi89zuigp6cxqaraaqbdf0j;28;Masculino;;0;0;Cientista de Dados/Data Scientist;Análise de Dados;de R$ 16.001/mês a R$ 20.000/mês;18000;Sênior;2;1;Estou em busca de oportunidades, mas apenas fora do Brasil;1;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);Modelo 100% remoto;0
6cyb4o9qkht1xcx6cybd9bazgrdoefg1;58;Masculino;Não acredito que minha experiência profissional seja afetada devido a esses fatores;0;0;Analytics Engineer;Engenharia de Dados;de R$ 8.001/mês a R$ 12.000/mês;10000;Sênior;2;0;Estou em busca de oportunidades dentro ou fora do Brasil;1;Modelo 100% presencial;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);0
6d9d65vcgr4jsgh6d9nk0p3jl18w1bhb;26;Masculino;;0;0;Engenheiro de Machine Learning/ML Engineer/AI Engineer;ML/IA;de R$ 6.001/mês a R$ 8.000/mês;7000;Pleno;1;1;Não estou buscando e não pretendo mudar de emprego nos próximos 6 meses;0;Modelo 100% remoto;Modelo 100% remoto;1
6djhnctfbcflpzg6djhrdmlqd0286b9t;25;Feminino;Não acredito que minha experiência profissional seja afetada devido a esses fatores;0;1;;Não informado;de R$ 8.001/mês a R$ 12.000/mês;10000;;2;1;Não estou buscando, mas me considero aberto a outras oportunidades;1;Modelo 100% presencial;Modelo híbrido com dias fixos de trabalho presencial;0
6dns2dg4lfbzlauv86dn4za8ik9n816t;34;Feminino;Sim, acredito que a minha a experiência profissional seja afetada devido a minha Cor/Raça/Etnia, Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero;1;0;Cientista de Dados/Data Scientist;Análise de Dados;de R$ 8.001/mês a R$ 12.000/mês;10000;Pleno;1;1;Não estou buscando, mas me considero aberto a outras oportunidades;1;Modelo 100% remoto;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);0
6doamp9kreie0aznk59l36doam29pe1y;41;Masculino;;0;0;Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas;Desenvolvimento;de R$ 25.001/mês a R$ 30.000/mês;27500;Sênior;2;1;Não estou buscando e não pretendo mudar de emprego nos próximos 6 meses;0;Modelo 100% presencial;Modelo 100% presencial;1
6e4v484x6355lo3jmy89no6e4v4847md;28;Masculino;;0;1;;Não informado;de R$ 8.001/mês a R$ 12.000/mês;10000;;2;0;Estou em busca de oportunidades, mas apenas fora do Brasil;1;Modelo 100% remoto;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);0
6edc3yv6zppelw9d6edccs337f53lq1c;24;Masculino;Não acredito que minha experiência profissional seja afetada devido a esses fatores;0;0;Analista de Dados/Data Analyst;Análise de Dados;de R$ 4.001/mês a R$ 6.000/mês;5000;Pleno;1;0;Estou em busca de oportunidades dentro ou fora do Brasil;1;Modelo 100% remoto;Modelo 100% presencial;0
6egoewrs6u8e5a0d66egdn6fm7v2xs0c;30;Masculino;;0;0;Cientista de Dados/Data Scientist;Análise de Dados;de R$ 8.001/mês a R$ 12.000/mês;10000;Pleno;1;1;Não estou buscando, mas me considero aberto a outras oportunidades;1;Modelo 100% remoto;Modelo 100% remoto;1
6ern8l86vvxxf6w7v6ern87bbqetvv1b;30;Feminino;Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero;1;0;Data Product Manager/ Product Manager (PM/APM/DPM/GPM/PO);Produto;de R$ 8.001/mês a R$ 12.000/mês;10000;Sênior;2;1;Não estou buscando e não pretendo mudar de emprego nos próximos 6 meses;0;Modelo 100% remoto;Modelo 100% remoto;1
6escyl2nohadicpa06escyq7z0ff0a7w;37;Masculino;;0;0;Cientista de Dados/Data Scientist;Análise de Dados;de R$ 12.001/mês a R$ 16.000/mês;14000;Pleno;1;1;Não estou buscando, mas me considero aberto a outras oportunidades;1;Modelo 100% remoto;Modelo 100% remoto;1
6f7bhy312pxipz3qfrrr6f7bhyihughc;33;Masculino;;0;0;Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;Engenharia de Dados;de R$ 4.001/mês a R$ 6.000/mês;5000;Pleno;1;1;Não estou buscando, mas me considero aberto a outras oportunidades;1;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);1
6fhilka8a244hexz5vagq6fhijy4m1ec;34;Masculino;;0;1;;Não informado;de R$ 20.001/mês a R$ 25.000/mês;22500;;2;1;Não estou buscando, mas me considero aberto a outras oportunidades;1;Modelo 100% remoto;Modelo 100% remoto;1
6fo9qvu597pxv6fo9qvx3cyublea9wxc;28;Feminino;Não acredito que minha experiência profissional seja afetada devido a esses fatores;0;0;Analista de Dados/Data Analyst;Análise de Dados;de R$ 8.001/mês a R$ 12.000/mês;10000;Sênior;2;1;Não estou buscando e não pretendo mudar de emprego nos próximos 6 meses;0;Modelo 100% remoto;Modelo 100% remoto;1
6fqk03be56bbm6fdak8rwpnsqjx5x2id;34;Masculino;;0;1;;Não informado;de R$ 25.001/mês a R$ 30.000/mês;27500;;1;1;Não estou buscando, mas me considero aberto a outras oportunidades;1;Modelo híbrido com dias fixos de trabalho presencial;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);0
6g8paszeznzcqel6g8paydaym8yol5ny;34;Masculino;;0;0;Outra Opção;Outro;de R$ 1.001/mês a R$ 2.000/mês;1500;Júnior;0;1;Estou em busca de oportunidades dentro ou fora do Brasil;1;Modelo 100% presencial;Modelo 100% remoto;0
6gyo55tnyp24k6e26gvimqpf43u6fsgt;50;Masculino;Sim, acredito que a minha a experiência profissional seja afetada devido a minha Cor/Raça/Etnia;1;0;Estatístico;Científico/Quantitativo;de R$ 20.001/mês a R$ 25.000/mês;22500;Sênior;2;1;Não estou buscando, mas me considero aberto a outras oportunidades;1;Modelo 100% presencial;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);0
6h28jyacaqv9sr96l6h28jmz0jbqd8ny;30;Feminino;Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero;1;;;Não informado;;0;;0;;;1;;;1
6h8r6eplnelpoz566h8r6exflk9sz51h;22;Masculino;;0;0;Analista de Dados/Data Analyst;Análise de Dados;de R$ 4.001/mês a R$ 6.000/mês;5000;Júnior;0;1;Não estou buscando, mas me considero aberto a outras oportunidades;1;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);1
6h9hzfsjitgjoq56h98m07nmueeqaee7;46;Feminino;Não acredito que minha experiência profissional seja afetada devido a esses fatores;0;;;Não informado;;0;;2;;;0;;;1
6hbnw9ml7hg6u1ldbhnjb46hbnw9mlgy;40;Feminino;Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero, Sim, acredito que minha experiência profissional seja afetada devido ao fato de ser PCD;1;;;Não informado;;0;;1;;;1;;;1
6i1j3q637pi7fmjy6i1j3qhgtzms0wjc;26;Masculino;Sim, acredito que a minha a experiência profissional seja afetada devido a minha Cor/Raça/Etnia;1;0;Analista de Suporte/Analista Técnico;Infraestrutura;de R$ 3.001/mês a R$ 4.000/mês;3500;Pleno;1;0;Estou em busca de oportunidades dentro ou fora do Brasil;1;Modelo híbrido com dias fixos de trabalho presencial;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);0
6i7x2x22nr6ima2ouhc6i7x2x6omh2po;19;Feminino;Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero;1;0;Analista de Dados/Data Analyst;Análise de Dados;de R$ 1.001/mês a R$ 2.000/mês;1500;Júnior;0;1;Não estou buscando e não pretendo mudar de emprego nos próximos 6 meses;0;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);1
6ieqrh6eol0httzg6ieqrhqa23c87m0f;31;Masculino;;0;0;Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;Engenharia de Dados;de R$ 12.001/mês a R$ 16.000/mês;14000;Sênior;2;1;Não estou buscando, mas me considero aberto a outras oportunidades;1;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);1
6ilzmt2ncra2l7hc07x6ilzput24hukv;23;Feminino;Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero, Sim, acredito que a minha a experiência profissional seja afetada devido a minha Cor/Raça/Etnia;1;;;Não informado;;0;;2;;;1;;;1
6iov9atj2pr4v3klg1r86iov9atov2v9;51;Masculino;;0;1;;Não informado;de R$ 12.001/mês a R$ 16.000/mês;14000;;1;0;Estou em busca de oportunidades dentro ou fora do Brasil;1;Modelo 100% remoto;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);0
6iq7enw0ij6i8w56imdpf4glul6d8w56;26;Feminino;Não acredito que minha experiência profissional seja afetada devido a esses fatores;0;0;Outra Opção;Outro;de R$ 2.001/mês a R$ 3.000/mês;2500;Júnior;0;1;Não estou buscando e não pretendo mudar de emprego nos próximos 6 meses;0;Modelo 100% presencial;Modelo 100% presencial;1
6j3e3cz6rrh06oux16j3e3kvztit0avi;31;Masculino;;0;1;;Não informado;de R$ 12.001/mês a R$ 16.000/mês;14000;;1;1;Estou em busca de oportunidades, mas apenas fora do Brasil;1;Modelo 100% remoto;Modelo 100% remoto;1
6j3vbnuw9he6xl2ikc0r6j3vbnuww861;24;Masculino;;0;0;Cientista de Dados/Data Scientist;Análise de Dados;de R$ 4.001/mês a R$ 6.000/mês;5000;Pleno;1;1;Não estou buscando, mas me considero aberto a outras oportunidades;1;Modelo 100% remoto;Modelo 100% remoto;1
6j58w5bubbsilbti68nk02fy6j58wvbl;27;Feminino;Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero, Sim, acredito que a minha a experiência profissional seja afetada devido a minha Cor/Raça/Etnia;1;0;Cientista de Dados/Data Scientist;Análise de Dados;de R$ 8.001/mês a R$ 12.000/mês;10000;Pleno;1;0;Estou em busca de oportunidades dentro ou fora do Brasil;1;Modelo 100% remoto;Modelo 100% remoto;1
6jcgsih6adthnrlbx6jcgsixe19k1sf7;28;Masculino;;0;;;Não informado;;0;;1;;;1;;;1
6jhf226effl0xtw6jhf23nixj5htt3v8;27;Feminino;Sim, acredito que a minha a experiência profissional seja afetada devido a minha Cor/Raça/Etnia;1;0;Analista de BI/BI Analyst;Análise de Dados;de R$ 1.001/mês a R$ 2.000/mês;1500;Júnior;0;1;Estou em busca de oportunidades dentro ou fora do Brasil;1;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);Modelo 100% remoto;0
6jj3orx3hyrbq3l80x6jj3oqqr7na0ny;23;Feminino;Não acredito que minha experiência profissional seja afetada devido a esses fatores;0;0;Analista de Negócios/Business Analyst;Negócios;de R$ 3.001/mês a R$ 4.000/mês;3500;Júnior;0;1;Não estou buscando e não pretendo mudar de emprego nos próximos 6 meses;0;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);1
6julvs3ohmbj3fsbt3pkte6julvsvyrb;37;Masculino;Não acredito que minha experiência profissional seja afetada devido a esses fatores;0;0;Outra Opção;Outro;de R$ 2.001/mês a R$ 3.000/mês;2500;Pleno;1;0;Estou em busca de oportunidades dentro ou fora do Brasil;1;Modelo 100% presencial;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);0
6k0ya0gctynf6jh06k001v2lb96sfb74;32;Feminino;Não acredito que minha experiência profissional seja afetada devido a esses fatores;0;0;Cientista de Dados/Data Scientist;Análise de Dados;de R$ 1.001/mês a R$ 2.000/mês;1500;Júnior;0;1;Não estou buscando, mas me considero aberto a outras oportunidades;1;Modelo híbrido com dias fixos de trabalho presencial;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);0
6k6nmhoi576xnrr6k6nme6n8hf7dmsr5;28;Masculino;Não acredito que minha experiência profissional seja afetada devido a esses fatores;0;0;Analista de BI/BI Analyst;Análise de Dados;de R$ 20.001/mês a R$ 25.000/mês;22500;Sênior;2;1;Não estou buscando, mas me considero aberto a outras oportunidades;1;Modelo 100% remoto;Modelo 100% remoto;1
6ki45cvmj036ic6khmu0nvdpimjfiwlo;37;Masculino;;0;0;Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;Engenharia de Dados;de R$ 12.001/mês a R$ 16.000/mês;14000;Sênior;2;1;Não estou buscando, mas me considero aberto a outras oportunidades;1;Modelo 100% remoto;Modelo 100% remoto;1
6l41vvravl3i6pk0xym6l41vvhq7m3js;36;Masculino;;0;1;;Não informado;Acima de R$ 40.001/mês;45000;;0;1;Não estou buscando e não pretendo mudar de emprego nos próximos 6 meses;0;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);1
6l7m9km1nuvc7a2cnk6l7m6gw9nbwkvm;23;Masculino;Não acredito que minha experiência profissional seja afetada devido a esses fatores;0;0;Cientista de Dados/Data Scientist;Análise de Dados;de R$ 8.001/mês a R$ 12.000/mês;10000;Pleno;1;1;Não estou buscando e não pretendo mudar de emprego nos próximos 6 meses;0;Modelo 100% remoto;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);0
6l9s2ours5koq7iig6l9s2edcfde37e5;37;Masculino;;0;1;;Não informado;de R$ 12.001/mês a R$ 16.000/mês;14000;;0;1;Não estou buscando, mas me considero aberto a outras oportunidades;1;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);1
6lnbruwg6zx1mxcqud6lnbqre8vq0bge;30;Masculino;;0;0;Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;Engenharia de Dados;de R$ 12.001/mês a R$ 16.000/mês;14000;Pleno;1;1;Estou em busca de oportunidades dentro ou fora do Brasil;1;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);1
6lnvh5prfw18chyya06lnvh5p64u7myz;31;Masculino;;0;0;Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;Engenharia de Dados;de R$ 6.001/mês a R$ 8.000/mês;7000;Pleno;1;1;Não estou buscando, mas me considero aberto a outras oportunidades;1;Modelo híbrido com dias fixos de trabalho presencial;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);0
6lw0ag7gtzjyjv6lw0afutsgdlr0zq5b;28;Feminino;Não acredito que minha experiência profissional seja afetada devido a esses fatores;0;0;Analista de Dados/Data Analyst;Análise de Dados;de R$ 4.001/mês a R$ 6.000/mês;5000;Pleno;1;1;Não estou buscando e não pretendo mudar de emprego nos próximos 6 meses;0;Modelo híbrido com dias fixos de trabalho presencial;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);0
6lzo8afocoa8456lzo8aa9gkhclaey2c;26;Masculino;;0;0;Analista de BI/BI Analyst;Análise de Dados;de R$ 3.001/mês a R$ 4.000/mês;3500;Pleno;1;1;Estou em busca de oportunidades dentro ou fora do Brasil;1;Modelo 100% presencial;Modelo 100% remoto;0
6mcg5c8x7orhq3remln6mcg5mlwybnwr;28;Masculino;Não acredito que minha experiência profissional seja afetada devido a esses fatores;0;0;Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;Engenharia de Dados;de R$ 25.001/mês a R$ 30.000/mês;27500;Pleno;1;1;Não estou buscando, mas me considero aberto a outras oportunidades;1;Modelo 100% remoto;Modelo 100% remoto;1
6mtl22z6jfxx70w6mtlnqy2j607vlzj8;31;Feminino;Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero;1;0;Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;Engenharia de Dados;de R$ 6.001/mês a R$ 8.000/mês;7000;Pleno;1;0;Estou em busca de oportunidades dentro ou fora do Brasil;1;Modelo 100% remoto;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);0
6mxff6os0rj299ylp6mxfw1ivn8b5zl5;47;Masculino;Não acredito que minha experiência profissional seja afetada devido a esses fatores;0;0;Analista de Negócios/Business Analyst;Negócios;de R$ 2.001/mês a R$ 3.000/mês;2500;Júnior;0;0;Não estou buscando, mas me considero aberto a outras oportunidades;1;Modelo 100% presencial;Modelo híbrido com dias fixos de trabalho presencial;0
6necr1yysoxm6vjpun6necr1yyyl7fh0;31;Masculino;;0;0;Outras Engenharias (não inclui dev);Outras Engenharias;de R$ 12.001/mês a R$ 16.000/mês;14000;Sênior;2;1;Não estou buscando e não pretendo mudar de emprego nos próximos 6 meses;0;Modelo 100% remoto;Modelo 100% remoto;1
6ng920wjd10w5p6ngnfztycr77yvjlsg;30;Feminino;Não acredito que minha experiência profissional seja afetada devido a esses fatores;0;0;Cientista de Dados/Data Scientist;Análise de Dados;de R$ 12.001/mês a R$ 16.000/mês;14000;Sênior;2;1;Não estou buscando e não pretendo mudar de emprego nos próximos 6 meses;0;Modelo 100% remoto;Modelo 100% remoto;1
6nrcabq42kkdv3odeaj36nrcab3wfafb;44;Masculino;;0;0;Data Product Manager/ Product Manager (PM/APM/DPM/GPM/PO);Produto;de R$ 12.001/mês a R$ 16.000/mês;14000;Sênior;2;1;Não estou buscando, mas me considero aberto a outras oportunidades;1;Modelo 100% remoto;Modelo 100% remoto;1
6nunmfmthjn0gcx6nun2tl3ayfcs2hcp;19;Masculino;Não acredito que minha experiência profissional seja afetada devido a esses fatores;0;;;Não informado;;0;;0;;;0;;;1
6nuyqcll2v9r6z9whoz6nuyqql6e0lww;35;Masculino;Não acredito que minha experiência profissional seja afetada devido a esses fatores;0;0;Cientista de Dados/Data Scientist;Análise de Dados;de R$ 8.001/mês a R$ 12.000/mês;10000;Pleno;1;1;Não estou buscando e não pretendo mudar de emprego nos próximos 6 meses;0;Modelo 100% presencial;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);0
6oqsip2uq0qhu6r6oqvhdogoo2wdjf7x;28;Masculino;;0;0;Analista de Dados/Data Analyst;Análise de Dados;de R$ 2.001/mês a R$ 3.000/mês;2500;Júnior;0;1;Estou em busca de oportunidades dentro ou fora do Brasil;1;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);Modelo 100% remoto;0
6p165s17avierbg91n86p16pfdvyoei0;31;Feminino;Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero;1;0;Analista de Dados/Data Analyst;Análise de Dados;de R$ 4.001/mês a R$ 6.000/mês;5000;Júnior;0;1;Não estou buscando, mas me considero aberto a outras oportunidades;1;Modelo híbrido com dias fixos de trabalho presencial;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);0
6pphjy5h6fagqcnkw6pphj5taq6uwwen;25;Masculino;;0;0;Cientista de Dados/Data Scientist;Análise de Dados;de R$ 3.001/mês a R$ 4.000/mês;3500;Júnior;0;1;Não estou buscando e não pretendo mudar de emprego nos próximos 6 meses;0;Modelo 100% remoto;Modelo híbrido com dias fixos de trabalho presencial;0
6pqc86biw91is2out6pqc61lein0hhpb;25;Feminino;Não acredito que minha experiência profissional seja afetada devido a esses fatores;0;0;Analista de Dados/Data Analyst;Análise de Dados;de R$ 4.001/mês a R$ 6.000/mês;5000;Júnior;0;1;Não estou buscando, mas me considero aberto a outras oportunidades;1;Modelo híbrido com dias fixos de trabalho presencial;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);0
6prtuklys2ab8bo1r6prtuklqb4wwuyr;48;Masculino;;0;0;Analista de Dados/Data Analyst;Análise de Dados;de R$ 4.001/mês a R$ 6.000/mês;5000;Pleno;1;1;Não estou buscando, mas me considero aberto a outras oportunidades;1;Modelo 100% presencial;Modelo híbrido com dias fixos de trabalho presencial;0
6pvc9ra1tty3fwwe6pvc9rrsqnz51yws;30;Masculino;Sim, acredito que a minha a experiência profissional seja afetada devido a minha Cor/Raça/Etnia;1;0;Engenheiro de Machine Learning/ML Engineer/AI Engineer;ML/IA;de R$ 8.001/mês a R$ 12.000/mês;10000;Sênior;2;1;Estou em busca de oportunidades dentro ou fora do Brasil;1;Modelo 100% remoto;Modelo 100% remoto;1
6pvrl57dux4ffehfq0l236pvrl52matx;41;Masculino;;0;1;;Não informado;de R$ 25.001/mês a R$ 30.000/mês;27500;;2;0;Estou em busca de oportunidades dentro ou fora do Brasil;1;Modelo 100% presencial;Modelo híbrido com dias fixos de trabalho presencial;0
6pvrpxlfcuqjgu6pvocjf78tz23y2kve;31;Masculino;Não acredito que minha experiência profissional seja afetada devido a esses fatores;0;0;Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;Engenharia de Dados;de R$ 20.001/mês a R$ 25.000/mês;22500;Sênior;2;1;Não estou buscando, mas me considero aberto a outras oportunidades;1;Modelo 100% remoto;Modelo 100% remoto;1
6qarfct8foodu6qagrp5ys1obafugx4d;60;Masculino;;0;1;;Não informado;de R$ 16.001/mês a R$ 20.000/mês;18000;;0;0;Não estou buscando, mas me considero aberto a outras oportunidades;1;Modelo 100% remoto;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);0
6r26kzyswyad1bi3vth6x26r26kzyswq;41;Masculino;;0;;;Não informado;;0;;0;;;1;;;1
6r9uc23g2ytqzk4nb356r9u0jqoqo16p;28;Masculino;Não acredito que minha experiência profissional seja afetada devido a esses fatores;0;1;;Não informado;de R$ 8.001/mês a R$ 12.000/mês;10000;;0;0;Não estou buscando, mas me considero aberto a outras oportunidades;1;Modelo 100% remoto;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);0
6rat3lgphbcn1uun6raeax5skjwnfsae;42;Masculino;;0;1;;Não informado;de R$ 8.001/mês a R$ 12.000/mês;10000;;2;0;Estou em busca de oportunidades dentro ou fora do Brasil;1;Modelo 100% presencial;Modelo 100% remoto;0
6rs6oof07rxvnqg036rs6oy38n7a46pq;33;Masculino;;0;1;;Não informado;de R$ 16.001/mês a R$ 20.000/mês;18000;;1;1;Não estou buscando e não pretendo mudar de emprego nos próximos 6 meses;0;Modelo híbrido com dias fixos de trabalho presencial;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);0
