"('P0', 'id')","('P1_b ', 'Genero')","('P2_f ', 'Cargo Atual')","('P2_i ', 'Quanto tempo de experiência na área de dados você tem?')","('P1_l ', 'Nivel de Ensino')","('P1_m ', 'Área de Formação')"
04b8mbh28y4r0z04b8f42bs4j4ma44pl,Feminino,Analista de Dados/Data Analyst,de 5 a 6 anos,Graduação/Bacharelado,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais
04ellbzcl7lj3va9n1yx04eleu3mlvml,Feminino,Analista de Negócios/Business Analyst,de 1 a 2 anos,Mestrado,Outra opção
04mb6m64f1b9566fnjwz04mb6m6bmelv,Masculino,Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas,de 3 a 4 anos,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI
04oft971jvyonsl456b704oft97ssj7l,Masculino,,de 7 a 10 anos,Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios
04qj1aoh18cgbwi04qj1aohkr325qe6z,Masculino,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,de 5 a 6 anos,Mestrado,Computação / Engenharia de Software / Sistemas de Informação/ TI
04qmbrvl35x33l4prch04qmbr7a5ee5j,Masculino,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,de 7 a 10 anos,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças/ Negócios
04zjy2mj5qhb4d4uv04zjw3u7cxv87x7,Masculino,Cientista de Dados/Data Scientist,de 5 a 6 anos,Graduação/Bacharelado,Outras Engenharias
05csrlllrg5xhyryv7i305csrl8hfybu,Feminino,,de 3 a 4 anos,Doutorado ou Phd,Economia/ Administração / Contabilidade / Finanças/ Negócios
05edmndszxd75nu8o05edmnbiuloulj9,Feminino,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,de 1 a 2 anos,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI
05na8bynsxjppjlrgsfb405na83mpw9f,Masculino,Analista de Dados/Data Analyst,Menos de 1 ano,Graduação/Bacharelado,Ciências Biológicas/ Farmácia/ Medicina/ Área da Saúde
06bekvb2fzxi6n0czi06bekvydrj06mi,Feminino,,Mais de 10 anos,Pós-graduação,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais
06ytc58mw53h90izzo306ytcpdc16w70,Masculino,Professor/Pesquisador,de 1 a 2 anos,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI
06zhqgd6dr4xjy06zhqg21con02zwy42,Feminino,Analytics Engineer,de 1 a 2 anos,Mestrado,Computação / Engenharia de Software / Sistemas de Informação/ TI
076sddptnza0htgkwxmr1jr076sddptb,Masculino,Economista,de 5 a 6 anos,Mestrado,Economia/ Administração / Contabilidade / Finanças/ Negócios
07ei3nr4jibmbslmgzup07ei3n8u13ka,Masculino,Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas,de 7 a 10 anos,Não tenho graduação formal,
07podb88144utvmy9lk0x07podb8k8nl,Masculino,Cientista de Dados/Data Scientist,de 7 a 10 anos,Não tenho graduação formal,
07vxvpqgtstbdqapyq07vo5p9yky8rqh,Masculino,,de 7 a 10 anos,Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios
083f331tparwm4083fxbusb0cps0rmwa,Masculino,Professor/Pesquisador,de 1 a 2 anos,Pós-graduação,Ciências Biológicas/ Farmácia/ Medicina/ Área da Saúde
08f7gp5stfs0txz08fn357e56e1co6sj,Masculino,Cientista de Dados/Data Scientist,de 3 a 4 anos,Estudante de Graduação,Outras Engenharias
091jp2ibksf49d1cgtz0091jp2bpsxzx,Masculino,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,de 3 a 4 anos,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
09esdc97ebk0609es03a7nf83pw1owqg,Feminino,Analista de Negócios/Business Analyst,de 7 a 10 anos,Graduação/Bacharelado,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais
0aadbbqu8p2hf3a0aadbshkx5p9ty80m,Masculino,Analista de Dados/Data Analyst,de 3 a 4 anos,Mestrado,Outras Engenharias
0an4fvp64oeblyt70k00an4fvtn9vcle,Masculino,Cientista de Dados/Data Scientist,de 7 a 10 anos,Pós-graduação,Outras Engenharias
0autzixgz8xh4s7nwdw70autzmjayn79,Masculino,Analista de Dados/Data Analyst,Mais de 10 anos,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças/ Negócios
0ayla3c460hpsv520ayla3i1xyyhg350,Masculino,Analista de Dados/Data Analyst,de 1 a 2 anos,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI
0azf0jf1ydfqkp0azfxtfwkz1ph9k98y,Masculino,Analista de Dados/Data Analyst,de 1 a 2 anos,Mestrado,Química / Física
0b3av6hp5sh4tl79rh0b3avpntmyuqiu,Masculino,Cientista de Dados/Data Scientist,de 4 a 6 anos,Mestrado,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais
0b8rbnxgqxk8fio2z4k0b8syvfnu6uyz,Masculino,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,de 4 a 6 anos,Pós-graduação,Outras Engenharias
0b9sb2w74o4h0f42j0b9sbk83r3d01j0,Feminino,Analista de BI/BI Analyst,de 1 a 2 anos,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
0baz3khrxi0sei0bazgztvrrugudi1wd,Feminino,Estatístico,Mais de 10 anos,Mestrado,Química / Física
0bb3tmiavc8odqz33eojlr0bb3to0mtu,Feminino,,de 3 a 4 anos,Estudante de Graduação,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais
0beob0vw5kuacjool0w0beobkbzsh06f,Masculino,Analista de Dados/Data Analyst,de 3 a 4 anos,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI
0bj58kvonhsptf90bj5ldaxfkdm013kt,Masculino,Analista de BI/BI Analyst,de 1 a 2 anos,Pós-graduação,Marketing / Publicidade / Comunicação / Jornalismo
0bulrqnzwpth2g6rcf0bulrqr6hfwmhx,Feminino,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,de 7 a 10 anos,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
0bzkjj29s204r00bzkuifih8t0n4shmd,Masculino,Cientista de Dados/Data Scientist,Menos de 1 ano,Prefiro não informar,
0c61ipysz17kckyll0c61ivgliw391vr,Masculino,Analytics Engineer,de 7 a 10 anos,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI
0czmmsqic3e0czzgfpcxcmlvopm6lzgf,Feminino,Outra Opção,Menos de 1 ano,Graduação/Bacharelado,Outra opção
0ddxnylpynv0fgc72nuiy0ddx2np8hvc,Feminino,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,de 1 a 2 anos,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI
0dkjjbum7c9eeyyr0dkjusywtxxirtxf,Masculino,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,de 5 a 6 anos,Graduação/Bacharelado,Outras Engenharias
0dmgnvaor1n4kwg0dofeq0cvtz9wszxp,Masculino,Cientista de Dados/Data Scientist,Menos de 1 ano,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
0dqlwrfgpu6hl40dq03c11aoxyrkddtt,Masculino,Analista de BI/BI Analyst,de 1 a 2 anos,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
0dverwvn6qvm84sj0dverwv1jhbj8uhf,Masculino,Analista de Dados/Data Analyst,Menos de 1 ano,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
0e5jp063qgcme6ly0e5j1oqs6sdw53oi,Masculino,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,de 1 a 2 anos,Mestrado,Outras Engenharias
0e6w1fl8ezu3h7bnef0e6w1fl8ekby7x,Masculino,Cientista de Dados/Data Scientist,de 3 a 4 anos,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI
0ei02mf5qxmda4g0ei02noz2n3ozbmns,Feminino,Outra Opção,de 3 a 4 anos,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
0es5j6zi3eta53c3alanv0es5j6zm7bp,Masculino,,,Não tenho graduação formal,
0etlg34j0c2aa5gxkx0etlgl5085l8cl,Masculino,Cientista de Dados/Data Scientist,Menos de 1 ano,Mestrado,Computação / Engenharia de Software / Sistemas de Informação/ TI
0fqm46sjwi4favsmqvl0fqm46s98elu7,Masculino,,de 4 a 6 anos,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças/ Negócios
0fy84aoyul0t71eaqln0fyfp4p5e8glp,Feminino,Economista,de 1 a 2 anos,Mestrado,Economia/ Administração / Contabilidade / Finanças/ Negócios
0g42rq6g6p2q873xia8y0g42x4n8upzt,Masculino,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,de 5 a 6 anos,Mestrado,Computação / Engenharia de Software / Sistemas de Informação/ TI
0gegw5q7g3lykqzh1jrvp0gegw55wg08,Feminino,,,Graduação/Bacharelado,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais
0ghkr6f66sdb6irt0c0ghk9s6mjqabxz,Masculino,Analista de Dados/Data Analyst,de 3 a 4 anos,Estudante de Graduação,Outras Engenharias
0gn3aonvi5bf7v0gditzg8sz142fxclo,Masculino,Analista de BI/BI Analyst,de 1 a 2 anos,Graduação/Bacharelado,Outras Engenharias
0gqoessq550geoi56otja8nxkzhl2yoe,Masculino,Analista de Dados/Data Analyst,de 7 a 10 anos,Pós-graduação,Outras Engenharias
0gxlcto118vdsq0gxlcaonsk0utw8n0y,Masculino,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,de 3 a 4 anos,Graduação/Bacharelado,Outras Engenharias
0h9s4p0a05whv290h9sq91aarxgafcha,Feminino,Analista de Negócios/Business Analyst,de 5 a 6 anos,Graduação/Bacharelado,Outras Engenharias
0hc6qwa1z9mz3aeb0hc6qwn21gsvs4u3,Masculino,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,de 4 a 6 anos,Graduação/Bacharelado,Outras Engenharias
0i6712vqjj653m0i670gfwnl6ta7qnic,Feminino,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,de 1 a 2 anos,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
0id8eghh68cl1w98pk0id8ep67ng3t9n,Masculino,Analista de BI/BI Analyst,de 4 a 6 anos,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças/ Negócios
0ig66tffh8xm8bmo0ig61rg4eh0vfx85,Masculino,,,Estudante de Graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios
0iozjnemmmz54m3nq0iozjnzm4poermp,Masculino,,de 7 a 10 anos,Mestrado,Computação / Engenharia de Software / Sistemas de Informação/ TI
0j2vm91zj9pfytz27jax0j2vafif1kuv,Masculino,Analista de Suporte/Analista Técnico,de 7 a 10 anos,Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios
0jainribfz6iwp042gdx0jaino4uc71r,Feminino,,de 4 a 6 anos,Pós-graduação,Outras Engenharias
0jc0mij71evva7kn778bz30jc0mijucs,Feminino,Cientista de Dados/Data Scientist,de 4 a 6 anos,Pós-graduação,Outras Engenharias
0jca0nbvqe3ufht9p0jca0dwcapmm8fm,Masculino,Analista de Suporte/Analista Técnico,Menos de 1 ano,Pós-graduação,Outras Engenharias
0ji2x0gh9fnq4nuej0ji2xknk36lhorh,Masculino,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,de 3 a 4 anos,Pós-graduação,Ciências Sociais
0jj9dxfgsq4uhudlwbcs0jj9dxq1k1xm,Masculino,,de 3 a 4 anos,Pós-graduação,Outras Engenharias
0jk0bdnu7cufwadn0jk07nuti10opjh8,Masculino,Analista de Dados/Data Analyst,Menos de 1 ano,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
0jlaefa4xwwgk5lfga7gsl0jlaefak5x,Masculino,Analista de Dados/Data Analyst,de 3 a 4 anos,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
0jqbuqvb3936balyvfenrstk0jqbuqvb,Masculino,Cientista de Dados/Data Scientist,de 3 a 4 anos,Estudante de Graduação,Outras Engenharias
0k7l1ljbam6kacmu0k7lno7oaf3xmu2d,Masculino,Outra Opção,de 5 a 6 anos,Estudante de Graduação,Outra opção
0kgic0bazt3vuk7t0kgisvop2347hvb2,Masculino,Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas,Não tenho experiência na área de dados,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI
0kugfu1lh5m23aunu2tn0kugb01gbx3e,Masculino,,,Estudante de Graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios
0kul7v5qknv9o8qccac0kulrt5fdi7om,Masculino,,de 5 a 6 anos,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI
0kyn7c4b5p4ud7arfk4000kynyyy82ec,Feminino,Analista de Dados/Data Analyst,de 3 a 4 anos,Mestrado,Economia/ Administração / Contabilidade / Finanças/ Negócios
0kz3y2ky2wx4fmkhadp0kz3y8y7jrl32,Masculino,Analista de Dados/Data Analyst,de 1 a 2 anos,Estudante de Graduação,Química / Física
0lv0ldegkx1i8xxmet0lvfewlljsvem0,Masculino,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,de 1 a 2 anos,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI
0lw4azzxw5hfcsb86ack0lw4azz8myxk,Feminino,,,Graduação/Bacharelado,Outra opção
0m9ykattn3c24ri42vxg0m9ykam9lb6n,Masculino,Analista de Dados/Data Analyst,de 5 a 6 anos,Graduação/Bacharelado,Ciências Biológicas/ Farmácia/ Medicina/ Área da Saúde
0mnxtpoxm1cp3wctf9bp0m6esr5ydpkh,Masculino,Data Product Manager/ Product Manager (PM/APM/DPM/GPM/PO),de 1 a 2 anos,Graduação/Bacharelado,Outra opção
0mp2dsmps10vyxahto0mp2ddj4kdfc2s,Feminino,Outra Opção,de 1 a 2 anos,Estudante de Graduação,Outras Engenharias
0nqzg51pf95l5p55kx0nqznnxpxb3upo,Masculino,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,de 7 a 10 anos,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
0nzwxa69m49bv180hk4fhb0nzwxaznfv,Masculino,Analytics Engineer,de 3 a 4 anos,Pós-graduação,Outras Engenharias
0oggobdknd16s8sog3ln4ic0oggobmt1,Masculino,Analytics Engineer,de 3 a 4 anos,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI
0ojds5de5ah8vwrpmklt0ojds5dz95kx,Masculino,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,de 7 a 10 anos,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI
0on1x4pk2etlhgwbdf0on1x4pb0vfe3a,Masculino,Analista de BI/BI Analyst,Menos de 1 ano,Graduação/Bacharelado,Outra opção
0onjh42eak1akktm7coy0onjho00ittt,Feminino,,,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI
0ovocc0chi8jo3q0ovocvj6qmljwtloh,Feminino,Cientista de Dados/Data Scientist,Mais de 10 anos,Doutorado ou Phd,Ciências Biológicas/ Farmácia/ Medicina/ Área da Saúde
0owmod4o9zby3ho0owkck31v0w2q45bc,Masculino,Outra Opção,Não tenho experiência na área de dados,Pós-graduação,Outras Engenharias
0p2u2nceqzym6fssl92n180p2u2n4uss,Masculino,,de 4 a 6 anos,Mestrado,Outras Engenharias
0pg37xsvnaoyqvibr0pg378z2eg4lpcz,Masculino,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,de 3 a 4 anos,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI
0piaidcw03f691i4cdc0piaid7bp0tpd,Masculino,Outra Opção,de 1 a 2 anos,Pós-graduação,Outras Engenharias
0porhlvirmnbqihbq0f0porhli93zl7v,Masculino,Cientista de Dados/Data Scientist,Menos de 1 ano,Graduação/Bacharelado,Outra opção
0q472yy1a4ua38hg0q42byo044ngq1sb,Feminino,,de 3 a 4 anos,Mestrado,Outras Engenharias
0qhsqn12j7yapjr3ny0qhsqnfkqqygsm,Feminino,Analytics Engineer,de 3 a 4 anos,Graduação/Bacharelado,Outras Engenharias
0qio4frn8vyn5lyoev0qio4uhal1fitk,Masculino,Analista de Negócios/Business Analyst,de 4 a 6 anos,Estudante de Graduação,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais
0r46flon90jl4hvi0r46flwm5jfomrq3,Feminino,Data Product Manager/ Product Manager (PM/APM/DPM/GPM/PO),de 3 a 4 anos,Pós-graduação,Química / Física
0rchsejnsxoklvzbq790rchsejne0bpi,Masculino,,Mais de 10 anos,Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios
0rcm0gxoact3bzh06knd13ubjeo64v14,Masculino,Analista de Dados/Data Analyst,de 3 a 4 anos,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
0rjkvzh2lso0ry6omu8uk030mxjr0q6f,Feminino,Analista de Dados/Data Analyst,de 1 a 2 anos,Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios
0rvvo787yq3mthe5ga0rvvh4rbm4u4gc,Feminino,Cientista de Dados/Data Scientist,de 3 a 4 anos,Graduação/Bacharelado,Outras Engenharias
0rzo8uhs2710bhyk0rzo8up4313jz70o,Feminino,Analista de Dados/Data Analyst,de 3 a 4 anos,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI
0s15dzpqa7lus1ast0s1578mskf2illz,Masculino,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,de 3 a 4 anos,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
0s7x7lc2foi894m6pogxa0s7x7ltfytz,Masculino,Analista de Dados/Data Analyst,Menos de 1 ano,Estudante de Graduação,Outra opção
0saxujz921fw22ii6pq0saxff4o4ykqm,Feminino,Estatístico,de 1 a 2 anos,Estudante de Graduação,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais
0sb17993f17dly32q0sb17m6cgr8m8fg,Masculino,,Mais de 10 anos,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
0sg4y3cvdcrbe0sgrq7glk1l8ky7rrq7,Masculino,Analista de Dados/Data Analyst,de 3 a 4 anos,Pós-graduação,Ciências Biológicas/ Farmácia/ Medicina/ Área da Saúde
0sw1v2544zjyapntd00sw6qtn1mommv9,Masculino,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,de 5 a 6 anos,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
0t14vkhnpaohc7nvnli0t14lryhv5mz3,Masculino,Analista de Dados/Data Analyst,de 1 a 2 anos,Pós-graduação,Outras Engenharias
0t33h6p5dhvgrz7e2vr0t33h6pxixdye,Feminino,,,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças/ Negócios
0tcnmlmc7ue14l3fz6im8tb20tcnmlmc,Masculino,,de 7 a 10 anos,Não tenho graduação formal,
0tdknv0eelzci9e0jl1z5j0tdknft4xm,Feminino,,,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
0tfplcdk2bzhdl40tfplcfu3vgiv4k4x,Masculino,,de 3 a 4 anos,Mestrado,Outras Engenharias
0tx7atz5i766r431a00v0tx7atz7xanx,Masculino,Analista de BI/BI Analyst,Mais de 10 anos,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI
0u56ftri7si1mms0u56foo9gircbx9mq,Feminino,Outra Opção,de 5 a 6 anos,Pós-graduação,Outra opção
0u70ebhsoogwg3qdnb20u7kldlweuu0x,Masculino,Analista de Suporte/Analista Técnico,de 5 a 6 anos,Pós-graduação,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais
0u8dg2d8bx62ivly0u8dor091dix01of,Masculino,,,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
0u9ldjdnpdo5ajqnplj9khr0u9ldjdnv,Masculino,Analista de BI/BI Analyst,de 1 a 2 anos,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
0ueqxxqa5mevx9duao0ueqxxq0ulfwgw,Masculino,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,de 3 a 4 anos,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI
0ug15cqzpnzj5gms1zvag0ug15cn7cev,Masculino,Analista de BI/BI Analyst,de 3 a 4 anos,Graduação/Bacharelado,Outras Engenharias
0uouqjo6urvaxld80uouqvcm2jmmxov2,Masculino,Outra Opção,Menos de 1 ano,Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios
0uu3nbepriafwglatf0uu3nacwlxd4cq,Feminino,,de 3 a 4 anos,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
0uvu1sve8rza2llcm8uvwt0uvu1ss9et,Masculino,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,de 3 a 4 anos,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI
0v1mo9fgrmkv7bl0v1m5jz71imbv4mkb,Masculino,Analista de BI/BI Analyst,de 3 a 4 anos,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
0vfvke194lwuj970vfv96lxbl2447ai4,Masculino,,Não tenho experiência na área de dados,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI
0w0cx6th9989gcfjxxvpjr50w0cx6osv,Masculino,,Mais de 10 anos,Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios
0w1a415gtbb7rn1f94fg0w1a41lfh6zg,Masculino,Cientista de Dados/Data Scientist,de 3 a 4 anos,Mestrado,Outras Engenharias
0wdf4wluf18nbjw0wdfkifzzt327p0h0,Masculino,Analista de BI/BI Analyst,de 1 a 2 anos,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI
0wnabz1pd1i2skai960w2due9g3hw4t7,Feminino,Analista de BI/BI Analyst,de 1 a 2 anos,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
0xic84omxpd7ptjgan0xic84o5sn3174,Masculino,Cientista de Dados/Data Scientist,de 3 a 4 anos,Graduação/Bacharelado,Outras Engenharias
0xqcwc3bly5khkbd0xqcd3nmpmgdu93o,Masculino,Outra Opção,Mais de 10 anos,Pós-graduação,Outras Engenharias
0xxbaszfifvkoirez0xxbagbvlpl5ikp,Masculino,Cientista de Dados/Data Scientist,de 1 a 2 anos,Estudante de Graduação,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais
0xydkaoabyz42pr87cv0xydkb2rxr2o8,Masculino,Cientista de Dados/Data Scientist,Menos de 1 ano,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
0yuwrhed0dsnrkdgy5n0yuwrhdx09xly,Masculino,,de 7 a 10 anos,Mestrado,Computação / Engenharia de Software / Sistemas de Informação/ TI
0zr4jo7c2j6hk60zr5ka7i9gysbve324,Masculino,Analista de BI/BI Analyst,de 3 a 4 anos,Pós-graduação,Outra opção
0zutq4iuaabxdj4q77fe0zutq4pw7zd6,Masculino,Analista de Dados/Data Analyst,de 1 a 2 anos,Graduação/Bacharelado,Outras Engenharias
1041gdt9zsprkuhskoh1041gdf2lyrcu,Masculino,Analista de Negócios/Business Analyst,de 3 a 4 anos,Estudante de Graduação,Marketing / Publicidade / Comunicação / Jornalismo
108oba89pnj2vj13wc108oba8dwaloha,Masculino,,,Graduação/Bacharelado,Outras Engenharias
1090quptpl5ltqvdun1090oc8ei3abyj,Masculino,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,de 4 a 6 anos,Pós-graduação,Outras Engenharias
10aklxjm370kfjsh19k10aklxmhmdj18,Feminino,,de 1 a 2 anos,Pós-graduação,Marketing / Publicidade / Comunicação / Jornalismo
10cadv3wxu1tjhhijcmv10cadv31hon9,Masculino,Cientista de Dados/Data Scientist,Menos de 1 ano,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
10cxvir35zl4k2ok310cxvrssym5ibl8,Masculino,,,Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios
10dnjhmee38ptlv5hqa10dnjhphm8qz3,Masculino,Analytics Engineer,de 1 a 2 anos,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
