"('P0', 'id')","('P1_b ', 'Genero')","('P1_f_1', 'Quantidade de oportunidades de emprego/vagas recebidas')","('P1_i ', 'Estado onde mora')","('P2_f ', 'Cargo Atual')"
gyeslgvz23tf9dgtqzdgyeslgzfxxjph,Masculino,,Distrito Federal (DF),
gyha024xjteft2a06ntgyha0228vqsib,Masculino,0.0,Piauí (PI),Outra Opção
gz7ri6xez21dcxcjd5gz7ri6xq6adjd8,Masculino,,Minas Gerais (MG),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
gzbibqwcr9ka43n2neogzbibm0yml2qx,Masculino,,São Paulo (SP),Analista de Dados/Data Analyst
gzbpw75aoistjey1llukgzbpw7557ist,Masculino,,Santa Catarina (SC),Cientista de Dados/Data Scientist
gze44blpdv3pqaigzefz3aypbm2xxmoc,Masculino,,Alagoas (AL),Cientista de Dados/Data Scientist
gzv6zb5hw6wguutu1nhqdogzv6zb1r12,Masculino,,São Paulo (SP),Analista de BI/BI Analyst
gzy492nmv731c49k80zhfgzy49yh599x,Masculino,,Bahia (BA),Cientista de Dados/Data Scientist
h0paydd3oqp5o6zzs3h0payd2kh8acv0,Masculino,,Espírito Santo (ES),Cientista de Dados/Data Scientist
h0q5s5tnqdu1zclkush0q5sz0pbukzo3,Masculino,,Minas Gerais (MG),
h0wmmuwsz7v32vsjxh0wmmuut7mncuk3,Feminino,1.0,Minas Gerais (MG),
h1bw07yq9de2sk8h1bw9u85tu5hs46y0,Feminino,0.0,Rio Grande do Sul (RS),
h1cdji4uuuwcll5zhh1cdjsu33m0rqbm,Feminino,1.0,Rio de Janeiro (RJ),
h2ch0qx9hzxath2cqv8ug8u86hqmjm5a,Feminino,,São Paulo (SP),Analista de Suporte/Analista Técnico
h2gcp8phxqplnguo7o8h2gcjwnt3k7ej,Masculino,,Distrito Federal (DF),Cientista de Dados/Data Scientist
h2o2u4d9p6l2pvubk1xh2o2uuwx8l1gj,Masculino,,Mato Grosso (MT),Analista de BI/BI Analyst
h2yf40xw0b7q1vs1vuh2yf4410z1mmm8,Masculino,,Rio Grande do Sul (RS),
h3fr50rqtc5697tc8xxh3fr5l4tchuyi,Feminino,1.0,Rio de Janeiro (RJ),Data Product Manager/ Product Manager (PM/APM/DPM/GPM/PO)
h3ibofly7xtpund3c5h3ibofxfnrv2k0,Feminino,0.0,São Paulo (SP),
h3mq1ze16rv04bqj9k2uh3mqq3g48xdh,Masculino,,Minas Gerais (MG),Engenheiro de Machine Learning/ML Engineer/AI Engineer
h3p56fcu5zbi3x6u2hhs36h3p56fcssc,Masculino,,Rio de Janeiro (RJ),Analista de BI/BI Analyst
h3qol1gtc7nt4setvh3qolz4a98bnwrg,Feminino,1.0,Distrito Federal (DF),
h4oat8205hp2ohzph4oatze4t2x7exjp,Masculino,,São Paulo (SP),Professor/Pesquisador
h50j8lu95jtn80ov1h50j8lx2xgadyne,Masculino,,São Paulo (SP),Analista de Dados/Data Analyst
h5fymszfnjdbi5muvf7h5fymqnw7womw,Masculino,,São Paulo (SP),
h5scp5012l43dz5z4h5scgcxt7khxqh6,Feminino,,Minas Gerais (MG),Analista de BI/BI Analyst
h5xwjqns8yxm2nb0exh5xwxjqjjz5wqy,Masculino,,São Paulo (SP),
h64ve9src4ofrw8ijr7yh64ve9tjhuwj,Masculino,,,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
h64vpjz09lkmh8f1vh64vtc644fw7uyw,Masculino,,São Paulo (SP),Analista de BI/BI Analyst
h6fo0dnfz91p7lsacn7h6fo0d9xx4564,Feminino,0.0,Pernambuco (PE),
h6n0vm084iqcswibh6n0voojj91ya3oi,Feminino,0.0,Santa Catarina (SC),Analista de Dados/Data Analyst
h6u6kgp2sc0xh6uc1j3l7z5wp59tpnq3,Masculino,,São Paulo (SP),Cientista de Dados/Data Scientist
h70vexzvnx223ghp9590zh70veqgyuq5,Masculino,,Minas Gerais (MG),Analista de BI/BI Analyst
h7o07bmct31m6vv8ic7h7o07bhaw8ib6,Masculino,,Mato Grosso (MT),
h7zpfg0p7w9bmfwhvovh7zpf076i1ur3,Masculino,,Paraná (PR),Analista de Dados/Data Analyst
h8b4r7mx3eqx69p48h8b4rxe6gyyzwcs,Feminino,,São Paulo (SP),Analista de Dados/Data Analyst
h8bt71fwrtob6q1mtmtdh8bt71gbv4uz,Masculino,0.0,Distrito Federal (DF),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
h8o72cs14174vpwh8o9cierk00onvqtx,Masculino,,Rio de Janeiro (RJ),Cientista de Dados/Data Scientist
h93h9u79hg4p5kog8u0cfh93h9uy3qf4,Feminino,1.0,Rio Grande do Sul (RS),Outras Engenharias (não inclui dev)
h9rj8395v0iqw5wfph9rj8mteszsi3m6,Masculino,0.0,São Paulo (SP),Analista de Suporte/Analista Técnico
ha4k03tr2y7xm1ha4k03vmc5foe155le,Masculino,,Rio de Janeiro (RJ),Analista de BI/BI Analyst
hajgnusfhbdqnwx42hajgnqqapuyxxhl,Masculino,,Distrito Federal (DF),
haoon9pkslfcdfxfhaoo2yqtyell1bon,Feminino,0.0,Rio de Janeiro (RJ),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
hb04vrvvpx4zhqthwdmophb04vrjnttn,Masculino,,Bahia (BA),Analista de Dados/Data Analyst
hb2mzwzz8dv5tpdyhb2mop1cei9xwdjr,Masculino,,São Paulo (SP),Outra Opção
hb4hcspol0h15zqhb4hcjq4nzl02bxiu,Masculino,,São Paulo (SP),Analista de Dados/Data Analyst
hb6vmg41xfwv369eajt7khb6vmkffdf5,Masculino,,,Cientista de Dados/Data Scientist
hb93vs5wv38okxakhb93dm8jnntxl0zd,Feminino,,Rio Grande do Sul (RS),Analista de Inteligência de Mercado/Market Intelligence
hb9lep6kumx8n9thb9lep2wzownuzviv,Masculino,,Minas Gerais (MG),Analista de Dados/Data Analyst
hbcpevk3ovheiwjhe8thbcpevkkd8l6y,Masculino,1.0,São Paulo (SP),Cientista de Dados/Data Scientist
hc1te8urs8njwff23shc1te80hlp2tca,Masculino,,Paraná (PR),Analista de Dados/Data Analyst
hckni9r9xd0lfw4qvhck22v1mxbhi7z6,Masculino,,São Paulo (SP),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
hcq6sgwwgms9cslchcq6s3ivexlhxjtc,Masculino,,Paraná (PR),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
hcxto4i7xksotuguycqtahcxto4sveju,Masculino,,Paraná (PR),Analista de BI/BI Analyst
hczxujnu5v310qsguqm2nhczxujguorf,Masculino,,São Paulo (SP),
hd08u7jswm8j0tcf2o3cw3hd08u7cuk3,Masculino,,São Paulo (SP),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
hd3msfr0gwkuijhd3msf78jiu69wpu2y,Masculino,,Paraná (PR),Data Product Manager/ Product Manager (PM/APM/DPM/GPM/PO)
hd9guqqv684oj5d0dstrw9hd9guqqg0w,Masculino,,Rio Grande do Sul (RS),
hdfjhuw2h08kotd1j9hdfjh4694tz2zf,Feminino,1.0,Rio de Janeiro (RJ),Analista de Negócios/Business Analyst
hdh1pouiq1x9lme1bhdh1jqstfu38qm8,Masculino,,São Paulo (SP),
hdkg0iztytyalp0xhdkg0iu5o7qub4pm,Masculino,1.0,Bahia (BA),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
hdm6kaotj9z7i8avs4zsrhdm6kaozh5g,Feminino,,Rio de Janeiro (RJ),Analista de Negócios/Business Analyst
hdtpta2zkef55u30hwqhdtptatd1t987,Feminino,,Rio Grande do Sul (RS),
he9vkq1l90bzbn25avyhe9vk7dr5fpgu,Masculino,,São Paulo (SP),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
hf3mg2ru13erwk97ethf3muya8xof1f2,Masculino,,Rio de Janeiro (RJ),Analista de Dados/Data Analyst
hfubel7sdcuvk7x869tp0fhfubelvy10,Masculino,,Paraná (PR),Outra Opção
hfuo5o96chrkcop55mwoo2khfuo5o9jw,Feminino,0.0,São Paulo (SP),Analista de Dados/Data Analyst
hg1w0c0f22n0g3besdmef5hg1w0c0f5r,Masculino,,São Paulo (SP),Analista de Suporte/Analista Técnico
hg80ixxzduteu528rtthg80ixxz2jiiu,Feminino,1.0,Paraná (PR),Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas
hg9gt57bxiaznshg9gt5ymx4pjn5alql,Feminino,1.0,Santa Catarina (SC),Analista de Dados/Data Analyst
hgagmew95baqs401go1hgaga8prnwgcp,Masculino,,Paraná (PR),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
hgfu8j11ee28re34bfl3hgfu8j1evw9v,Feminino,1.0,Santa Catarina (SC),
hgle36e537y94swrshkhgle36yeglvsz,Masculino,,São Paulo (SP),
hgovdfpladruiwdi4hgovdlt7ecd464t,Feminino,0.0,São Paulo (SP),Analista de BI/BI Analyst
hh3aq1uymrd59yu4ghh3aonlrgxnxgvw,Masculino,,Minas Gerais (MG),Analista de BI/BI Analyst
hhfz7j7go2jhy5i92bfbmhhfz7j795t9,Feminino,1.0,Rondônia (RO),Cientista de Dados/Data Scientist
hhmbt993mole798chhmf7um3tiw9mpog,Masculino,,Goiás (GO),Cientista de Dados/Data Scientist
hho6yvpgl9ux1j7wuhho6yrpbw1iywst,Feminino,0.0,Rio de Janeiro (RJ),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
hi0encaxp97s3fkchwhi0enjgfy1hao3,Masculino,,São Paulo (SP),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
hi6lnwiu038amth4320mmkr9cybxwy74,Masculino,,São Paulo (SP),
hijt3jwz3101l9e2fzhijt38jb4btqmv,Masculino,,São Paulo (SP),Cientista de Dados/Data Scientist
hingn07ucwh93eet1g11kxlhingn07rb,Masculino,,São Paulo (SP),
hiqat6w9szmv29u250j1hiqat6whbwc5,Masculino,,Santa Catarina (SC),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
hisegdfnlmu79k76ihise0ymn2xw4a51,Masculino,,São Paulo (SP),
hiuvy4bg3bpcuvt51o6hiuvy4rg919yj,Masculino,,Minas Gerais (MG),
hj1k4wp3a8myhiur0ni2hj1k4nk6ojdi,Masculino,,Rondônia (RO),
hj6cezvdhdrydyuven6hj6mbgtgppdej,Masculino,,Minas Gerais (MG),Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas
hj8kljq85mf6oao3p6hj8kltu6uaf2bu,Feminino,,Bahia (BA),Outra Opção
hjkuz33ecg1fwj6sxhjkuz3df2s59kha,Masculino,,São Paulo (SP),Outra Opção
hk6gndrlpxm9wbe3ctpmdnwzhk6gn6rk,Masculino,,Ceará (CE),
hkujrn3w9t3x80hz197z0hkujua1kpzl,Feminino,,São Paulo (SP),Analista de BI/BI Analyst
hkuzgnn7yhmo5d4x7qfhkuzg2woksyia,Masculino,,Minas Gerais (MG),Analista de Negócios/Business Analyst
hl1lchoyir8hr3yxsbafjnl7hl1lctvg,Masculino,,São Paulo (SP),Analista de BI/BI Analyst
hlwp2ra53uibvw11thlwwyc70uynugw9,Feminino,1.0,São Paulo (SP),
hlzx7unuf2lemiel5chlzx7unu5wol7o,Masculino,,Minas Gerais (MG),
hm12fdy8olz78fh5qhm12fyl9yvcy7yu,Masculino,0.0,Bahia (BA),Analista de Suporte/Analista Técnico
hm1cjp9h5gzc72u3bohm1h3mibyfppax,Feminino,0.0,São Paulo (SP),Data Product Manager/ Product Manager (PM/APM/DPM/GPM/PO)
hmdsbkp3d2ubeik3xhmdsbe9a891ypud,Masculino,,Paraná (PR),Analista de BI/BI Analyst
hmkcxzwkrbxdraf2aw5qhmkcxzwcsxg1,Feminino,1.0,Santa Catarina (SC),Analista de Negócios/Business Analyst
hmmtuwu1z87oam1nxpljyhmmt0cme2pk,Masculino,0.0,Minas Gerais (MG),
hmroft1yv9thnfv4wpuhmroftoksvxjf,Masculino,,Distrito Federal (DF),
hmvr7efmivxs9zlhh3ixbzhmvremvyjv,Feminino,,São Paulo (SP),Analista de Negócios/Business Analyst
hmzr7521jkepthmoyyvq6rgmz18lboz9,Feminino,,São Paulo (SP),Professor/Pesquisador
hn4g153jtqjjiyahn4gz1zbqiyhavdoz,Masculino,,Bahia (BA),Analytics Engineer
hng3bq91eau6wz0jrfnhng3bmatg5vg5,Masculino,,Santa Catarina (SC),
hnmyh1vflqa4i772lbehhnmsk4je4j7g,Feminino,0.0,São Paulo (SP),Analista de Negócios/Business Analyst
hnmyswhhkdy4tvyrbe36nyhnmyswhgep,Masculino,,São Paulo (SP),
hnvc2kcusk37jlehnvc2k2aq5ym2xeo9,Masculino,,,
ho2oai59n82awc84re6eho2oaitqf4ql,Masculino,,São Paulo (SP),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
hoby9y3obpxcqwzhoby1d7gr23vzvrga,Masculino,,Paraná (PR),Analista de Dados/Data Analyst
hoeiuhx9wps78ibihoeiu0349lbsadsf,Masculino,,São Paulo (SP),Analista de Dados/Data Analyst
how4tp1s45p8ll7xg3how46c9ymmespb,Masculino,,São Paulo (SP),Cientista de Dados/Data Scientist
hp80x900canr7cq6pehp80x9a1mcjf7t,Masculino,,São Paulo (SP),
hpc9y1p1u1trzricce3hpc9y1p3jples,Masculino,,,
hpx8ojgvumgeklalvshpx8ozzk8l2lj2,Masculino,,São Paulo (SP),Cientista de Dados/Data Scientist
hq0qcf8gq4hlsi07t4hq0qcvnngl4ehz,Masculino,,Bahia (BA),
hqa3wqr4ai359kmnzuhqa39t3ilcw6k3,Masculino,,Rio Grande do Sul (RS),
hqg9wk874qh4uchqg9wk3bsdu1agjcst,Feminino,,Pernambuco (PE),
hqhhebdepmlz4tw5h1hqh47olg1ckm0h,Feminino,0.0,Minas Gerais (MG),Analista de Dados/Data Analyst
hqihlt5uuczhqih7i8xjwmzzjeiqlu7i,Feminino,0.0,Santa Catarina (SC),
hqj1eroynh0ddtrrkhqjcf4fu5dantlr,Feminino,,Minas Gerais (MG),Cientista de Dados/Data Scientist
hqsr8t8ysi7zlwnyotoayhqsr8t59ktm,Masculino,,São Paulo (SP),Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas
hqyiyjt54eip3zkhqyiyrxgcw0j8e9jd,Feminino,0.0,São Paulo (SP),Analista de Dados/Data Analyst
hr9alkk14vto6whhj7njp6m2btc9czfj,Feminino,1.0,São Paulo (SP),Analista de BI/BI Analyst
hrsb1orjj0bus0cvrbhrsbjzm0wfuvxb,Masculino,,São Paulo (SP),
hrws7pbemqx37xb8uhrws7fnvgo5fcc8,Masculino,,São Paulo (SP),Analista de BI/BI Analyst
hs2yu6602vifsc7risgwbhgqhs2yu69a,Masculino,,Rio Grande do Sul (RS),Analista de Suporte/Analista Técnico
hs4ee7bkgf5s3f3frths4ee7bkfir5pv,Masculino,,Minas Gerais (MG),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
hs95bvxanst5l24hs97piz0bqu12rdzs,Masculino,1.0,,DBA/Administrador de Banco de Dados
hsmpomapq4iwhxqa6hsmpowpy6ny3z7z,Masculino,,Distrito Federal (DF),Engenheiro de Machine Learning/ML Engineer/AI Engineer
hsvtczsiislnaojihsvtczavgevj05r9,Feminino,0.0,São Paulo (SP),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
hsw1wt4nnf3e3f173u9rhsw1wt40kslv,Masculino,,Paraná (PR),
ht03gnlawkluy0ht03gndczefs93m0ic,Masculino,,Rio Grande do Norte (RN),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
htd855tbjwpr5epesvzhtd855pto1qom,Masculino,,Rio de Janeiro (RJ),
hu5g7oqwfjb38h5i1e3ugbwhu5g7oq84,Feminino,,Paraná (PR),Analista de Dados/Data Analyst
hub47p2bdlmhbhub4hrcf8l732vwups6,Feminino,,Rio de Janeiro (RJ),Analista de Dados/Data Analyst
hue9c9eazys35wlhuef88sc17x6c87up,Masculino,,Distrito Federal (DF),
huj18wy6pmxry5m1ampgryahuj18wcea,Masculino,,Paraná (PR),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
hun4wd24m61ajgf1n3hun4imryqd7xv7,Masculino,,Espírito Santo (ES),Outra Opção
hurfhi94wg5weg4657cqcehurfrqotlx,Masculino,,Espírito Santo (ES),Cientista de Dados/Data Scientist
hvco99yktqmpdg939hvco99yf429x3mh,Masculino,,Bahia (BA),Analista de BI/BI Analyst
hvftlz4kigt3w0drthvftlzux71n2lg4,Masculino,,Rio Grande do Norte (RN),Engenheiro de Machine Learning/ML Engineer/AI Engineer
hvhyu2ou5u2xzvv8hvhy985rgypxm07p,Masculino,,Paraná (PR),Analista de BI/BI Analyst
hvpk10gt3uo1aj6hvpkhf4otocsyja2y,Masculino,,Rio Grande do Sul (RS),Analista de Dados/Data Analyst
hwfxeu1d4ouyiaihwfxeuy844rve9emj,Masculino,0.0,Distrito Federal (DF),Cientista de Dados/Data Scientist
hwlfw9nr1ho7bofvdhwlftskjpkf19ie,Masculino,,São Paulo (SP),Analista de Dados/Data Analyst
hx3nzz46v96q0lce0qnhx3nzzccmxaxe,Masculino,,Pernambuco (PE),Data Product Manager/ Product Manager (PM/APM/DPM/GPM/PO)
hxap3sabbubxnh4v1ahxavrqaccwhsaq,Masculino,,Minas Gerais (MG),Analista de BI/BI Analyst
hxqysax960f7av1zobh3hxqysam113bs,Masculino,1.0,São Paulo (SP),Analista de Dados/Data Analyst
hxsmi9y0jypmso6739mguuhxsmi9yeqd,Masculino,,São Paulo (SP),Analista de Dados/Data Analyst
hxtzlz3kszii09ueihxtzlswv9uuqs3v,Masculino,,São Paulo (SP),
hy7zvc3s581fc48f7s13hy7zvpy398dh,Masculino,,Rio Grande do Sul (RS),Analista de Dados/Data Analyst
hymvr7uknhfa5ojvngahymvrquuoxs2i,Masculino,,Minas Gerais (MG),Analista de Dados/Data Analyst
hymxn4psv67lzpoehymxn343t6wx3ygm,Masculino,,Bahia (BA),Analista de Inteligência de Mercado/Market Intelligence
hyxqutp4os8h4e1uxhyxqutqp5ofw7rn,Masculino,,Alagoas (AL),
hz44zcdp766a94wm6aw5hz44znbsls05,Masculino,0.0,Paraíba (PB),Cientista de Dados/Data Scientist
hz989etjhq1h6dj726hz989etpwmo2t1,Masculino,,São Paulo (SP),Analista de Suporte/Analista Técnico
hznhqd4pmh8m0ypw3bmhznhz9jimkady,Feminino,0.0,Minas Gerais (MG),
hzppl0nzazoe88zdbnfwhzpp7usjr890,Masculino,,Minas Gerais (MG),Cientista de Dados/Data Scientist
i00vbv2fnkkq9jp4zf2z5yo5i00vbv2o,Masculino,1.0,São Paulo (SP),Cientista de Dados/Data Scientist
i01acla3kj9i35f4gvi01acpqob2y1q6,Feminino,,Santa Catarina (SC),
i0hjb0wh930vdpu4b0m04qi0hjb0e7wd,Feminino,,São Paulo (SP),
i0li16bm9f4hvbs3i0li151tazvq55fx,Masculino,,Mato Grosso do Sul (MS),Outra Opção
i0robihnnc1dvflpx7wsi0robihnl5q3,Feminino,1.0,São Paulo (SP),Analista de Dados/Data Analyst
i0sjsws206v4mtei0sjsrdd5bz1k70xg,Feminino,,Santa Catarina (SC),
i0u41vjl4xgj8ew3i0ptq0let72flwr3,Masculino,,Rio de Janeiro (RJ),Analista de Dados/Data Analyst
i1gi3yk7b5mvrb6bt44i1gi3ykz2tf28,Masculino,,Minas Gerais (MG),Analista de Dados/Data Analyst
i1kvbgdeuzspceyni1kbuum7tktvekdh,Feminino,,Minas Gerais (MG),Analista de BI/BI Analyst
i1lnllnzr7w9er0gi1lnlhauqmev89ge,Masculino,0.0,Rio de Janeiro (RJ),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
i1r0zs7z8f9pl4j94c29i1r0zs7zn29k,Masculino,,Rio Grande do Sul (RS),Estatístico
i1tzylkoqrizujdi1tzr5290n17sdhsc,Masculino,,Rio Grande do Norte (RN),
i28ic1utzx7mdusc4cbg1zi28ic1ugh8,Masculino,,Paraná (PR),Analista de Inteligência de Mercado/Market Intelligence
i2dl4rmgcuj6qyzoi26kji2dl412vfrw,Feminino,1.0,Rio de Janeiro (RJ),
i2fs0ar5li486hnhjudi2fs0qrnnhq1p,Masculino,,São Paulo (SP),Analista de Dados/Data Analyst
i2poknw0votfkxci2pobhybiwp1ysh9f,Feminino,1.0,Minas Gerais (MG),Analista de BI/BI Analyst
i2qonhxzkaykhehgi2qo2vaq91bu3un8,Masculino,,,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
i2w0crc6am69c4vwaqxsi2w0crsvbvdk,Masculino,,São Paulo (SP),Analista de Dados/Data Analyst
i2xd4o26pb95hnpvei2xd4opy9iqyo7x,Masculino,,São Paulo (SP),Cientista de Dados/Data Scientist
i3v5ulkvxnbqqi3vhhlwsvtbtyj1fe2u,Masculino,,Distrito Federal (DF),Analista de Dados/Data Analyst
i3xk2kou6rsxiieiscri3xk0r70p1g71,Masculino,,Paraná (PR),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
i3xw10cc72zbwjn2xw57gi3xw1mzd6bq,Masculino,,São Paulo (SP),
i4ajyqxlpzohmra9i4ajw8d2bclmgew4,Masculino,,São Paulo (SP),Analista de Dados/Data Analyst
i4jhtypx0nhc7cj1lwp18igi4jhtisok,Masculino,,São Paulo (SP),Cientista de Dados/Data Scientist
i4lkz9qoahfauzxi4lr3vc18drvl1hru,Masculino,,São Paulo (SP),Cientista de Dados/Data Scientist
i4s6txtwtac5i4s6tlujg6u058i0kgp2,Masculino,,São Paulo (SP),Analista de BI/BI Analyst
i4z4fj5pls2lrq1q9adi4z4us8wiy3zb,Masculino,,Santa Catarina (SC),Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas
i55u1544yppxor0wfb5i55u15eztfz3i,Feminino,1.0,Minas Gerais (MG),
i5gj0h7ykeq84t85x4i5gj0jp8mwsmby,Feminino,0.0,São Paulo (SP),Outra Opção
i5hmlas2qfp7h91zsbi5h901trraoy18,Masculino,,Rio de Janeiro (RJ),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
i5so30z1vdvweq3tqi5so30zv91jx2fq,Feminino,,São Paulo (SP),Cientista de Dados/Data Scientist
i668ysd0m39azcd6dmdi668yo47cwfwk,Masculino,,Maranhão (MA),Analista de Suporte/Analista Técnico
i6bhb0sp5zruh5f8dii6bhfse570fxac,Masculino,,São Paulo (SP),
i6fnsyl4ugap1i6bvf76pitntl9gxsig,Feminino,,Santa Catarina (SC),Cientista de Dados/Data Scientist
i6k3x5xtd6orvubgwyi6k39my2i2kklr,Masculino,,Bahia (BA),Analista de Dados/Data Analyst
i6sk061d8augixb2b6fi6sk055qqdbe6,Masculino,,São Paulo (SP),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
i7a35btmag342seeni7adrzikkk3ggvp,Masculino,,Rio Grande do Sul (RS),Cientista de Dados/Data Scientist
i7hpxd2nins747rxi7rqp7uxbjtf8oj1,Masculino,1.0,São Paulo (SP),Outra Opção
i7izvevsxouaittbytmi7izvev3fw6gf,Masculino,,Minas Gerais (MG),
i7jfrs4kryp8wpr1i7jfrs4apy2dd5h1,Masculino,,São Paulo (SP),
i9412lh6iq6c3628wj5bkvri9412lhcc,Masculino,,Rio Grande do Sul (RS),Analista de Dados/Data Analyst
i95lkkv80fznphsti95lksqlgbp0r0me,Masculino,,Paraná (PR),
i9jg5434qp5zectbel09wpqi9jg54fr7,Masculino,1.0,Rio de Janeiro (RJ),
i9lbqt9n42xwubbk3i9lbqt4s94ju7cc,Masculino,0.0,Paraná (PR),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
i9pfz29y2e8ji4tn5gi9piy6s9y3zc0t,Masculino,,Pernambuco (PE),
ia3i5ih9wkd22a2ia3i5ihuwpvaf09ji,Masculino,,Goiás (GO),
ia62tvfwqo9ns42ua70wia62tvfrase1,Feminino,,São Paulo (SP),
ia8a3h7hahiiu7gjdia8n4d1ws3tls6a,Masculino,,São Paulo (SP),
ib43jq3zdd3nmhnd9vuib43jqf1vk7a3,Masculino,,São Paulo (SP),
ib4m8usc090ux1hokpsib4m8cgjtl3q5,Masculino,,Piauí (PI),Analista de Dados/Data Analyst
ibpllmv3qbonh1hh1zt02ks7aibpllmv,Masculino,,Paraná (PR),Analista de BI/BI Analyst
ic0jbxd0bjqt6ckqiuq66ic0jbu0y8hj,Masculino,,Minas Gerais (MG),DBA/Administrador de Banco de Dados
ic4igr0es36nl9so77kic4igmze16l51,Feminino,,São Paulo (SP),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
icctfwyqhzevaphzpzicctfwgplnkqtb,Masculino,,São Paulo (SP),Analista de Dados/Data Analyst
icowhul2grzuc6yico4edj2iig6i2gwa,Masculino,,Paraná (PR),Analista de Negócios/Business Analyst
icsdh6u4rpurnbmkuftjxmdicsdh6ufs,Masculino,,Rio Grande do Norte (RN),Outra Opção
idugy3rqhjprrjyyykfbidu5fbh53u2z,Masculino,,São Paulo (SP),Cientista de Dados/Data Scientist
iebditr4lqx6l736biebd9f2t6b0hcag,Feminino,0.0,Santa Catarina (SC),Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas
ieee1mot5pk02eqeoox0ieee1morijzi,Masculino,,São Paulo (SP),
iencaeysm3itxw7iencamach6ys1kgqi,Feminino,0.0,Rio Grande do Sul (RS),Analista de Dados/Data Analyst
ietw7kmld6b6dgbszdietw7kx7pzwexi,Feminino,,São Paulo (SP),Outra Opção
if7msl23jiej5h5c4tjoylif7m27en56,Masculino,,São Paulo (SP),
ifdn65blw8bu4uslnjf5ifdnrukwn3om,Masculino,,São Paulo (SP),Analista de Dados/Data Analyst
ifgj2ddf968m3hgan2i6ifgj2dlnqk49,Masculino,,Minas Gerais (MG),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
iflt4dw0cmpau8or3tu4iflt4dwnomua,Masculino,,São Paulo (SP),Cientista de Dados/Data Scientist
ifsyeql2n2ffxvb91rt4ifsy5kmgvq91,Masculino,0.0,São Paulo (SP),Analytics Engineer
ig2sangfvsldthkeig2s0xi7c0zori8j,Masculino,0.0,Rio de Janeiro (RJ),
igapvzehfsl1kbjv3sigapzaaxohjebr,Feminino,0.0,São Paulo (SP),Analista de Suporte/Analista Técnico
igrkeqxnqyjbibwfoeigrkevgybdb1w8,Masculino,,São Paulo (SP),Cientista de Dados/Data Scientist
ih02mzutxtaf0sb5arpih02mzukb2a92,Masculino,,Santa Catarina (SC),
ihfmztidtfeuhcihfmzuel2zwf5jgnay,Masculino,,Paraná (PR),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
ihhiz54gzy3d86iw9t9sxp5sher6ox3w,Masculino,,Santa Catarina (SC),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
ihqfj1rfojn4zwnihqfkzmw1wpb4gfm0,Masculino,,São Paulo (SP),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
ihs8yyf971xeot6xy6kihs8yyfnplmti,Masculino,,Bahia (BA),Outras Engenharias (não inclui dev)
iht5bg8yyi6wtgiht5b94on36nvko6ly,Masculino,,Santa Catarina (SC),Analista de Dados/Data Analyst
ii4doci924t78oa94eii4dofsiypsjdc,Masculino,,Rio de Janeiro (RJ),Cientista de Dados/Data Scientist
iifu0aitit2fb7aiifuy8s7dq9cs9mgh,Masculino,0.0,São Paulo (SP),Analista de Inteligência de Mercado/Market Intelligence
iip4lhamxl0rxxomaiip4l3ojlges1yu,Masculino,,São Paulo (SP),
